struct,subject,feature,family,cov,n_raters
ut,D1-037,shape_flatness,shape,0.03984692205156008,2
ut,D1-037,shape_sa_vol_norm,shape,0.14270436433112052,2
ut,D1-037,shape_sphericity,shape,0.14270436433112055,2
ut,D1-037,size_area_mm2,size,0.03636878420499276,2
ut,D1-037,size_bbox_diag,size,0.06651092575549723,2
ut,D1-037,size_bbox_x,size,0.011857707509881422,2
ut,D1-037,size_bbox_y,size,0.09656082375579747,2
ut,D1-037,size_bbox_z,size,0.12837569908790383,2
ut,D1-037,size_centroid,size,0.08039170887221055,2
ut,D1-037,size_volume_mm3,size,0.1595748138998147,2
ut,D1-038,shape_aniso,shape,0.10663419919893982,2
ut,D1-038,shape_aspect_yx,shape,0.23563555511397233,2
ut,D1-038,shape_aspect_zx,shape,0.28400297080524,2
ut,D1-038,shape_elong_21,shape,0.2072372016549701,2
ut,D1-038,shape_elong_31,shape,0.12125778174801387,2
ut,D1-038,shape_flatness,shape,0.0881957005465482,2
ut,D1-038,shape_sa_vol_norm,shape,0.15634717500844716,2
ut,D1-038,shape_sphericity,shape,0.15634717500844714,2
ut,D1-038,size_area_mm2,size,0.1926583059047393,2
ut,D1-038,size_bbox_diag,size,0.15263376066649775,2
ut,D1-038,size_bbox_x,size,0.27603551110668273,2
ut,D1-038,size_bbox_y,size,0.04321053239391465,2
ut,D1-038,size_bbox_z,size,0.008645199276273509,2
ut,D1-038,size_centroid,size,0.005545335514376864,2
ut,D1-038,size_volume_mm3,size,0.05612548811966377,2
ut,D1-039,shape_aniso,shape,0.08877897105131714,2
ut,D1-039,shape_aspect_yx,shape,0.0022630283527494007,2
ut,D1-039,shape_aspect_zx,shape,0.028488109476058548,2
ut,D1-039,shape_elong_21,shape,0.02606806509950131,2
ut,D1-039,shape_elong_31,shape,0.04746988327239357,2
ut,D1-039,shape_flatness,shape,0.021428334622873534,2
ut,D1-039,shape_sa_vol_norm,shape,0.024039583500710813,2
ut,D1-039,shape_sphericity,shape,0.024039583500710896,2
ut,D1-039,size_area_mm2,size,0.005592248144971335,2
ut,D1-039,size_bbox_diag,size,0.034718707950015595,2
ut,D1-039,size_bbox_x,size,0.04387535214018509,2
ut,D1-039,size_bbox_y,size,0.04161645593386519,2
ut,D1-039,size_bbox_z,size,0.01540649964606214,2
ut,D1-039,size_centroid,size,0.024483989334720888,2
ut,D1-039,size_volume_mm3,size,0.04442552245112625,2
ut,D1-040,shape_aniso,shape,0.21867028658523183,2
ut,D1-040,shape_aspect_yx,shape,0.30817804235317997,2
ut,D1-040,shape_aspect_zx,shape,0.24375014281192106,2
ut,D1-040,shape_elong_21,shape,0.44797084723347036,2
ut,D1-040,shape_elong_31,shape,0.41289312861222777,2
ut,D1-040,shape_flatness,shape,0.04303824894121954,2
ut,D1-040,shape_sa_vol_norm,shape,0.02116802943519905,2
ut,D1-040,shape_sphericity,shape,0.02116802943519917,2
ut,D1-040,size_area_mm2,size,0.8466953623121295,2
ut,D1-040,size_bbox_diag,size,0.5246449996931465,2
ut,D1-040,size_bbox_x,size,0.42901632914380194,2
ut,D1-040,size_bbox_y,size,0.6511090253733671,2
ut,D1-040,size_bbox_z,size,0.6090739126786443,2
ut,D1-040,size_centroid,size,0.5078948201947358,2
ut,D1-040,size_volume_mm3,size,0.950292335164768,2
ut,D1-041,shape_aniso,shape,0.020714166324434825,2
ut,D1-041,shape_aspect_yx,shape,0.012929414110405083,2
ut,D1-041,shape_aspect_zx,shape,0.0771092915160246,2
ut,D1-041,shape_elong_21,shape,0.017129910345991393,2
ut,D1-041,shape_elong_31,shape,0.020458845710164028,2
ut,D1-041,shape_flatness,shape,0.03757558738370765,2
ut,D1-041,shape_sa_vol_norm,shape,0.1070332604436174,2
ut,D1-041,shape_sphericity,shape,0.10703326044361737,2
ut,D1-041,size_area_mm2,size,0.13216038689207996,2
ut,D1-041,size_bbox_diag,size,0.005395851677569064,2
ut,D1-041,size_bbox_x,size,0.01882498090550212,2
ut,D1-041,size_bbox_y,size,0.005897002101665741,2
ut,D1-041,size_bbox_z,size,0.05836903799358494,2
ut,D1-041,size_centroid,size,0.020090754886031778,2
ut,D1-041,size_volume_mm3,size,0.0382211491656769,2
ov,D1-001,shape_aniso,shape,0.11658165128499945,3
ov,D1-001,shape_aspect_yx,shape,0.08467658138598311,3
ov,D1-001,shape_aspect_zx,shape,0.19668723577103495,3
ov,D1-001,shape_elong_21,shape,0.14548504840129048,3
